Type	IRI	Status	Label
Class	http://purl.obolibrary.org/obo/OBI_0001754	metadata complete	CXCL9/MIG release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0001755	ready for release	selection criterion
Class	http://purl.obolibrary.org/obo/OBI_0001756	metadata complete	CXCL9/MIG release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0000425	ready for release	averaging objective
Class	http://purl.obolibrary.org/obo/OBI_0000424	metadata complete	transcription profiling assay
Class	http://purl.obolibrary.org/obo/OBI_0000423	metadata complete	extract
Class	http://purl.obolibrary.org/obo/OBI_0000422	ready for release	syringe
Class	http://purl.obolibrary.org/obo/OBI_0000420	example to be eventually removed	obsolete_trypsinized material
Class	http://purl.obolibrary.org/obo/PATO_0000186		behavioral quality
Class	http://purl.obolibrary.org/obo/OBI_0000429	metadata incomplete	intraperitoneal administration
Class	http://purl.obolibrary.org/obo/OBI_0000427	pending final vetting	enzyme
Class	http://purl.obolibrary.org/obo/OBI_0000426	metadata complete	injection
Class	http://purl.obolibrary.org/obo/OBI_0001757	metadata complete	CXCL9/MIG release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001758	metadata complete	CCL4/MIP-1b release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001759	metadata complete	CXCL12/SDF-1 release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/UBERON_0001155		colon
Class	http://purl.obolibrary.org/obo/OBI_0001760	metadata complete	CXCL13/BLC release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001761	metadata complete	CXCL16 release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001762	metadata complete	CCL21/SLC release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001763	metadata complete	CCL22/MDC release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001764	metadata complete	CCL4/MIP-1b release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0001765	metadata complete	CCL4/MIP-1b release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001766	metadata complete	VEGF release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001767	metadata complete	CCL19/MIP-3b release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0000436	metadata complete	needle
Class	http://purl.obolibrary.org/obo/OBI_0000435	metadata complete	genotyping assay
Class	http://purl.obolibrary.org/obo/OBI_0000434	ready for release	adding material objective
Class	http://purl.obolibrary.org/obo/OBI_0000433	metadata incomplete	DNA sequence feature detection
Class	http://purl.obolibrary.org/obo/OBI_0000432	metadata complete	polyacrylamide gel
Class	http://purl.obolibrary.org/obo/OBI_0000431	metadata incomplete	injection into organ section
Class	http://purl.obolibrary.org/obo/OBI_0000430	pending final vetting	plasmid
Class	http://purl.obolibrary.org/obo/PATO_0000146		temperature
Class	http://purl.obolibrary.org/obo/OBI_0000439	metadata complete	agarose gel
Class	http://purl.obolibrary.org/obo/OBI_0000438	ready for release	DNA sequence variation detection
Class	http://purl.obolibrary.org/obo/OBI_0000437	ready for release	analyte measurement objective
Class	http://purl.obolibrary.org/obo/OBI_0001768	metadata complete	CCL1/TCA-3 release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0001769	metadata complete	specimen collector role
Class	http://purl.obolibrary.org/obo/OBI_0001771	metadata complete	VEGF release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001772	metadata complete	IL-17F release|biological activity
Class	http://purl.obolibrary.org/obo/OBI_0001773	metadata complete	IL-17A release|biological activity
Class	http://purl.obolibrary.org/obo/OBI_0001774	metadata complete	CCL21/SLC release|biological activity
Class	http://purl.obolibrary.org/obo/OBI_0001775	metadata complete	CCL19/MIP-3b release|biological activity
Class	http://purl.obolibrary.org/obo/OBI_0001776	metadata complete	CXCL12/SDF-1 release|biological activity
Class	http://purl.obolibrary.org/obo/OBI_0001777	metadata complete	CCL22/MDC release|biological activity
Class	http://purl.obolibrary.org/obo/OBI_0001778	metadata complete	CXCL16 release|biological activity
Class	http://www.geneontology.org/formats/oboInOwl#DbXref		
Class	http://purl.obolibrary.org/obo/OBI_0000447	metadata incomplete	intra cellular electrophysiology recording
Class	http://purl.obolibrary.org/obo/OBI_0000446	uncurated	obsolete_identification
Class	http://purl.obolibrary.org/obo/OBI_0000445	metadata complete	mass measurement assay
Class	http://purl.obolibrary.org/obo/OBI_0000444	metadata complete	target of material addition role
Class	http://purl.obolibrary.org/obo/OBI_0000443	ready for release	analyte assay
Class	http://purl.obolibrary.org/obo/GO_0002390		platelet activating factor production
Class	http://purl.obolibrary.org/obo/OBI_0000442	example to be eventually removed	obsolete_heart
Class	http://purl.obolibrary.org/obo/OBI_0000441	ready for release	assay objective
Class	http://purl.obolibrary.org/obo/OBI_0001770	metadata complete	VEGF release|ICS
Class	http://purl.obolibrary.org/obo/CLO_0009828		immortal cell line
Class	http://purl.obolibrary.org/obo/CLO_0009829		mortal cell line
Class	http://purl.obolibrary.org/obo/OBI_0000449	organizational term	obsolete_defined_output
Class	http://purl.obolibrary.org/obo/OBI_0000448	metadata complete	packed column
Class	http://purl.obolibrary.org/obo/OBI_0001779	metadata complete	CXCL13/BLC release|biological activity
Class	http://purl.obolibrary.org/obo/OBI_0001820	ready for release	epitope specific chemokine (C-X-C motif) ligand 16 production by T cells
Class	http://purl.obolibrary.org/obo/OBI_0001821	metadata complete	IL-22 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001822	metadata complete	IL-23 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0200191	metadata incomplete	gene list visualization
Class	http://purl.obolibrary.org/obo/OBI_0200190	metadata incomplete	clustered data visualization
Class	http://purl.obolibrary.org/obo/OBI_0200182	ready for release	data vector reduction data transformation
Class	http://purl.obolibrary.org/obo/OBI_0200181	metadata incomplete	center calculation data transformation
Class	http://purl.obolibrary.org/obo/OBI_0200184	ready for release	descriptive statistical calculation data transformation
Class	http://purl.obolibrary.org/obo/OBI_0200183	metadata incomplete	scaling objective
Class	http://purl.obolibrary.org/obo/OBI_0200186	pending final vetting	error correction objective
Class	http://purl.obolibrary.org/obo/OBI_0200185	ready for release	scaling data transformation
Class	http://purl.obolibrary.org/obo/OBI_0200188	pending final vetting	cross validation objective
Class	http://purl.obolibrary.org/obo/OBI_0200187	metadata incomplete	sequence analysis data transformation
Class	http://purl.obolibrary.org/obo/OBI_0001823	ready for release	epitope specific chemokine (C-C motif) ligand 21 production by T cells
Class	http://purl.obolibrary.org/obo/OBI_0001824	metadata complete	IL-18 release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0200189	metadata incomplete	merging objective
Class	http://purl.obolibrary.org/obo/OBI_0001825	ready for release	epitope specific chemokine (C-C motif) ligand 19 production by T cells
Class	http://purl.obolibrary.org/obo/OBI_0001826	metadata complete	IL-21 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001827	metadata complete	CCL1/TCA-3 release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001828	metadata complete	CCL1/TCA-3 release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0001829	metadata complete	CCL1/TCA-3 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001830	metadata complete	IL-17F release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001831	metadata complete	IL-17F release|ELISA
Class	http://purl.obolibrary.org/obo/OBI_0001832	metadata complete	IL-17F release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001833	metadata complete	IL-17A release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0000501	metadata complete	variable wavelength detector
Class	http://purl.obolibrary.org/obo/OBI_0000500	metadata complete	dual loop autosampler
Class	http://purl.obolibrary.org/obo/OBI_0200180	metadata incomplete	spread calculation objective
Class	http://purl.obolibrary.org/obo/OBI_0200171	metadata incomplete	partitioning data transformation
NamedIndividual	http://purl.obolibrary.org/obo/UO_0000301		microgram per liter
Class	http://purl.obolibrary.org/obo/OBI_0000509	metadata complete	electron capture detector
Class	http://purl.obolibrary.org/obo/OBI_0200170	metadata incomplete	averaging data transformation
Class	http://purl.obolibrary.org/obo/OBI_0000508	metadata complete	column jacket
Class	http://purl.obolibrary.org/obo/OBI_0200173	pending final vetting	background correction objective
Class	http://purl.obolibrary.org/obo/OBI_0000507	metadata complete	gas generator
Class	http://purl.obolibrary.org/obo/OBI_0200172	ready for release	partitioning objective
Class	http://purl.obolibrary.org/obo/OBI_0000506	metadata complete	photoionization detector
Class	http://purl.obolibrary.org/obo/OBI_0200175	ready for release	class discovery data transformation
Class	http://purl.obolibrary.org/obo/OBI_0000505	metadata complete	multiple wavelength detector
Class	http://purl.obolibrary.org/obo/OBI_0200174	pending final vetting	curve fitting objective
Class	http://purl.obolibrary.org/obo/OBI_0000504	metadata complete	sample injection system
Class	http://purl.obolibrary.org/obo/OBI_0200177	ready for release	center calculation objective
Class	http://purl.obolibrary.org/obo/OBI_0000503	metadata complete	Bruker LC-NMR platform
Class	http://purl.obolibrary.org/obo/OBI_0200176	metadata incomplete	Fisher's exact test
Class	http://purl.obolibrary.org/obo/OBI_0001834	metadata incomplete	drawing a conclusion
Class	http://purl.obolibrary.org/obo/OBI_0200179	ready for release	class prediction objective
Class	http://purl.obolibrary.org/obo/OBI_0001835	metadata complete	IL-18 release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0200178	ready for release	class discovery objective
Class	http://purl.obolibrary.org/obo/OBI_0001836	metadata complete	IL-16 release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001837	metadata complete	IL-16 release|ELISA
Class	http://purl.obolibrary.org/obo/OBI_0001838	metadata complete	IL-16 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001839	metadata complete	IL-16 release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0001840	metadata complete	IL-17A release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001841	metadata complete	IL-1b release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0001842	metadata complete	IL-1b release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001843	metadata complete	IL-15 release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001844	metadata complete	IL-12 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0000513	metadata complete	DISCOVERY console
Class	http://purl.obolibrary.org/obo/OBI_0000512	metadata incomplete	isolation of cell population
Class	http://purl.obolibrary.org/obo/OBI_0000511	metadata complete	injector lubricant
Class	http://purl.obolibrary.org/obo/OBI_0000510	metadata complete	reversed phase column
Class	http://purl.obolibrary.org/obo/OBI_0200160	pending final vetting	generalized family wise error rate correction method
