OBI ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	Term Editor	Definition Source
OBI:0001217	IL-22 release|biological activity	biological activity assay measuring epitope specific interleukin-22 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-22 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-22 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001218	IL-8 release|biological activity	biological activity assay measuring epitope specific interleukin-8 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-8 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-8 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001220	IL-10 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-10 production by T cells	An assay of epitope specific interleukin-10 production by T cells that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific interleukin-10 production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001222	CCL5/RANTES release|ELISA	ELISA measuring epitope specific RANTES production by T cells	An assay of epitope specific RANTES production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific RANTES production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001223	IL-1b release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-1 beta production by T cells	An assay of epitope specific interleukin-1 beta production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001227	IL-6 release|ELISPOT	ELISPOT assay measuring epitope specific interleukin-6 production by T cells	An assay of epitope specific interleukin-6 production by T cells that uses an ELISPOT assay.	equivalent	biological activity assay measuring epitope specific interleukin-6 production by T cells	enzyme-linked immunospot assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001228	antibody help|biological activity	biological activity assay measuring epitope specific helper T cell enhancement of a B cell mediated immune response	A T cell epitope specific helper activity assay that detects the ability of a T cell epitope to enhance an antibody response.	subclass	biological activity assay measuring epitope specific T cell helper activity										IEDB	IEDB
OBI:0001229	dissociation constant KD|surface plasmon resonance (SPR)|nM	plasmon resonance assay measuring the dissociation constant [KD] of a T cell epitope:MHC:TCR complex	A T cell epitope equilibrium dissociation constant (KD) determination assay that uses a surface plasmon resonance assay.	equivalent	assay measuring the dissociation constant [KD] of a T cell epitope:MHC:TCR complex	surface plasmon resonance binding assay								nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001229	dissociation constant KD|surface plasmon resonance (SPR)|nM	plasmon resonance assay measuring the dissociation constant [KD] of a T cell epitope:MHC:TCR complex	A T cell epitope equilibrium dissociation constant (KD) determination assay that uses a surface plasmon resonance assay.	equivalent	assay measuring the dissociation constant [KD] of a T cell epitope:MHC:TCR complex	surface plasmon resonance binding assay								nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001230	IL-5 release|biological activity	biological activity assay measuring epitope specific interleukin-5 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-5 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-5 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001231	TGFb release|ELISA	ELISA measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001232	CCL5/RANTES release|biological activity	biological activity assay measuring epitope specific RANTES production by T cells	A T cell epitope specific cytokine production assay that detects RANTES production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 5 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001233	GM-CSF release|biological activity	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	A T cell epitope specific cytokine production assay that detects granulocyte macrophage colony stimulating factor production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					granulocyte macrophage colony-stimulating factor production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
