OBI ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	Term Editor	Definition Source
OBI:0001413	IL-6 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-6 production by T cells	An assay of epitope specific interleukin-6 production by T cells that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific interleukin-6 production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001414	IFNg release|biological activity	biological activity assay measuring epitope specific interferon-gamma production by T cells	A T cell epitope specific cytokine production assay that detects interferon-gamma production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interferon-gamma production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001416	TNFa release|biological activity	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that detects tumor necrosis factor production.	equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells					tumor necrosis factor production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001423	granzyme B release|intracellular staining	intracellular material detection measuring epitope specific granzyme B release by T cells	A T cell epitope specific granzyme B release assay that uses an intracellular material detection by flow cytometry assay.	equivalent	biological activity assay measuring epitope specific granzyme B release by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001433	IFNg release|radio immuno assay (RIA)	radio immuno assay measuring epitope specific interferon-gamma production by T cells	An assay of epitope specific interferon-gamma production by T cells that uses a radio immuno assay.	equivalent	biological activity assay measuring epitope specific interferon-gamma production by T cells	radio immuno assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001436	granzyme B release|biological activity	biological activity assay measuring epitope specific granzyme B release by T cells	A T cell epitope specific cytotoxic T cell degranulation assay that detects granzyme B release by T cells.	equivalent	biological activity assay measuring epitope specific cytotoxic T cell degranulation					granzyme B production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001437	CXCL9/MIG release|ICS	intracellular cytokine staining assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	An assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001438	CCL9/MIP-1g release|ELISA	ELISA measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	An assay of epitope specific macrophage inflammatory protein-1 gamma production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001445	IL-2 release|biological activity	biological activity assay measuring epitope specific interleukin-2 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-2 production by T cells.	subclass	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-2 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001449	IL-1b release|biological activity	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-1 beta production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-1 beta production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001450	IL-4 release|biological activity	biological activity assay measuring epitope specific interleukin-4 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-4 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-4 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001451	IL-6 release|biological activity	biological activity assay measuring epitope specific interleukin-6 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-6 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-6 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001452	TNFa release|bioassay	cell culture analyte detection bioassay measuring epitope specific tumor necrosis factor production by T cells	A T cell epitope specific tumor necrosis factor production assay that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001453	lymphotoxin A/TNFb release|ICS	intracellular cytokine staining assay measuring epitope specific lymphotoxin A production by T cells	An assay of epitope specific lymphotoxin A production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific lymphotoxin A production by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001455	IL-5 release|ELISPOT	ELISPOT assay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses an ELISPOT assay.	equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	enzyme-linked immunospot assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001456	CCL9/MIP-1g release|biological activity	biological activity assay measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	A T cell epitope specific cytokine production assay that detects macrophage inflammatory protein-1 gamma production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					macrophage inflammatory protein-1 gamma production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001457	IL-8 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-8 production by T cells	An assay of epitope specific interleukin-8 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-8 production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001459	CXCL9/MIG release|biological activity	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	A T cell epitope specific cytokine production assay that detects chemokine (C-X-C motif) ligand 9 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-X-C motif) ligand 9 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001461	granzyme B release|ELISA	ELISA measuring epitope specific granzyme B release by T cells	A T cell epitope specific granzyme B release assay that uses an ELISA.	equivalent	biological activity assay measuring epitope specific granzyme B release by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001465	CCL2/MCP-1 release|biological activity	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	A T cell epitope specific cytokine production assay that detects monocyte chemotactic protein-1 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					monocyte chemotactic protein-1 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001466	IL-12 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-12 production by T cells	An assay of epitope specific interleukin-12 production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific interleukin-12 production by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001467	disease exacerbation|in vivo assay	in vivo assay measuring T cell epitope specific disease exacerbation	An efficacy of T cell epitope intervention experiment that uses a disease exacerbation in vivo intervention experiment.	equivalent	biological activity assay measuring T cell epitope specific in vivo activity	disease exacerbation in vivo intervention experiment									IEDB	IEDB
OBI:0001469	ligand presentation|T cell recognition 	monospecific T cell recognition assay measuring MHC ligand processing and presentation	A MHC ligand processing and presentation assay in which the presence of a specific ligand in an eluate is detected using the response of T cells that are known to be monospecific for that ligand as a readout.	subclass	assay measuring MHC ligand processing and presentation	assay measuring binding of a T cell epitope:MHC:TCR complex									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001473	tumor burden after challenge|in vivo assay	in vivo assay measuring T cell epitope specific protection from tumor challenge	A T cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on tumor burden.	equivalent	in vivo assay measuring T cell epitope specific protection from challenge	protection from challenge in vivo intervention experiment	cancer cell line								IEDB	IEDB
OBI:0001475	pathogen burden after challenge|in vivo assay	in vivo assay measuring T cell epitope specific protection from infectious challenge based on pathogen burden	A T cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on pathogen burden.	equivalent	in vivo assay measuring T cell epitope specific protection from challenge	protection from challenge in vivo intervention experiment	('material entity' and 'has role' some 'pathogen role')								IEDB	IEDB
OBI:0001478	ligand presentation|mass spectrometry	mass spectrometry assay measuring MHC ligand processing and presentation	A MHC ligand processing and presentation assay that uses a mass spectrometry assay to identify eluted ligands	equivalent	assay measuring MHC ligand processing and presentation	mass spectrometry assay									IEDB	IEDB
OBI:0001482	TGFb release|ICS	intracellular cytokine staining assay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specifictransforming growth factor-beta production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	flow cytometry assay									IEDB	IEDB
OBI:0001484	in vivo activity|biological activity	biological activity assay measuring T cell epitope specific in vivo activity	A T cell epitope dependent biological activity determination assay that uses an in vivo intervention experiment.	equivalent	assay measuring T cell epitope specific biological activity	in vivo intervention experiment	organism								IEDB	IEDB
OBI:0001489	ligand presentation|cellular MHC/mass spectrometry	mass spectrometry assay measuring MHC ligand processing and presentation of MHC ligands eluted from cellular MHC	A mass spectrometry of MHC ligands assay that identifies eluted ligands from cell bound MHC.	subclass	mass spectrometry assay measuring MHC ligand processing and presentation	mass spectrometry assay									IEDB	IEDB
OBI:0001490	GM-CSF release|cytometric bead array	cytometric bead array measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001492	survival from challenge|in vivo assay	in vivo assay measuring T cell epitope specific protection based on survival	A T cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on survival.	equivalent	in vivo assay measuring T cell epitope specific protection from challenge	epitope protection experiment based on survival									IEDB	IEDB
OBI:0001493	qualitative binding|cellular MHC/T cell inhibition	cell bound MHC competitive binding assay of a MHC:ligand complex using T cell epitope recognition	A cell bound MHC binding assay that uses a T cell epitope recognition assay.	subclass	cell bound MHC binding assay measuring binding of a MHC:ligand complex	assay measuring binding of a T cell epitope:MHC:TCR complex	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell						IEDB	IEDB
OBI:0001495	helper response|biological activity	biological activity assay measuring epitope specific T cell helper activity	A T cell epitope dependent biological activity assay that detects the ability of epitope specific helper T cells to enhance either B cell or T cell adaptive immune response function.	equivalent	assay measuring T cell epitope specific biological activity					helper T cell enhancement of adaptive immune response		('helper T cell enhancement of T cell mediated immune response' or 'helper T cell enhancement of B cell mediated immune response')			IEDB	IEDB
OBI:0001496	IL-22 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-22 production by T cells	An assay of epitope specific interleukin-22 production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific interleukin-22 production by T cells	flow cytometry assay									IEDB	IEDB
OBI:0001497	perforin release|biological activity	biological activity assay measuring epitope specific perforin release by T cells	A T cell epitope specific cytotoxic T cell degranulation assay that detects perforin release by T cells.	equivalent	biological activity assay measuring epitope specific cytotoxic T cell degranulation					perforin production					IEDB	IEDB
OBI:0001500	ligand presentation|coelution	coelution assay measuring MHC ligand processing and presentation using T cell recognition of HPLC fractionated eluate compared to synthetic ligand	A MHC ligand processing and presentation assay in which an HPL chromatography is run to separate an input mixture of ligands eluted from MHC into fractions. These fractions are tested for recognition by T cells and compared to the recognition of a synthetic ligand that is presumed to be the recognized epitope. Identical HPLC fractionation and T cell recognition patterns confirm that the specific ligand was presented by MHC molecules. 	subclass	assay measuring MHC ligand processing and presentation	assay measuring binding of a T cell epitope:MHC:TCR complex	('material entity' and 'has role' some 'positive reference substance role')								"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001507	decreased disease|in vivo assay	in vivo assay measuring T cell epitope specific treatment of disease	An efficacy of T cell epitope intervention experiment that detects a decrease in disease.	equivalent	biological activity assay measuring T cell epitope specific in vivo activity	treatment intervention experiment									IEDB	IEDB
OBI:0001509	ligand presentation|Edman degradation	Edman degradation assay measuring MHC ligand processing and presentation	A MHC ligand processing and presentation assay that uses Edman degradation to identify the eluted ligands	equivalent	assay measuring MHC ligand processing and presentation	Edman degradation									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001510	ligand presentation|secreted MHC/mass spectrometry 	mass spectrometry assay measuring MHC ligand processing and presentation of MHC ligands eluted from secreted MHC	A mass spectrometry of MHC ligands that identifies eluted ligands from secreted MHC.	subclass	mass spectrometry assay measuring MHC ligand processing and presentation	mass spectrometry assay									IEDB	IEDB
OBI:0001512	IL-17A release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-17A production by T cells	A T cell epitope specific interleukin-17A production assay that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-17A production by T cells	cytometric bead array assay									IEDB	IEDB
OBI:0001513	qualitative binding|purified MHC/competitive/radioactivity	purified MHC competitive binding assay of a MHC:ligand complex using radioactivity detection	A purified MHC binding assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	subclass	purified MHC binding assay measuring binding of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation						"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001516	half maximal effective concentration (EC50)|lysate MHC/direct/radioactivity|nM	cell lysate MHC direct binding assay measuring half maximal effective concentration [EC50] of a MHC:ligand complex using radioactivity detection	A cell lysate MHC ligand binding half maximal effective concentration (EC50) determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent	assay measuring the half maximal effective concentration [EC50] of a MHC:ligand complex	radioactivity detection			cell lysate					nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001517	half maximal inhibitory concentration (IC50)|cellular MHC/competitive/radioactivity|nM	cell bound MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using radioactivity detection	A cell bound MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001519	qualitative binding|lysate MHC/direct/fluorescence	cell lysate MHC direct binding assay of a MHC:ligand complex using fluorescence detection	A cell lysate MHC binding assay that uses fluorescence detection to detect direct binding.	subclass	cell lysate MHC binding assay measuring binding of a MHC:ligand complex	fluorescence detection assay			cell lysate						"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001520	half maximal inhibitory concentration (IC50)|cellular MHC/competitive/fluorescence|nM	cell bound MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using fluorescence detection	A cell bound MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001521	G-CSF release|ELISA	ELISA measuring epitope specific granulocyte colony stimulating factor production by T cells	An assay of epitope specific granulocyte colony stimulating factor production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific granulocyte colony stimulating factor production by T cells	enzyme-linked immunosorbent assay									IEDB	IEDB
OBI:0001523	IL-17F release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-17F production by T cells	A T cell epitope specific interleukin-17F production assay that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-17F production by T cells	cytometric bead array assay									IEDB	IEDB
OBI:0001524	association constant KA|cellular MHC/direct/fluorescence|1/M	cell bound MHC direct binding assay measuring equilibrium association constant [KA] of a MHC:ligand complex using fluorescence detection	A cell bound MHC ligand binding equilibrium association constant (KA) determination assay that uses fluorescence detection to detect direct binding.	equivalent	assay measuring the association constant [KA] of a MHC:ligand complex	fluorescence detection assay			cell					count per molar	IEDB	IEDB
OBI:0001531	half life|purified MHC/direct/fluorescence|min	purified MHC direct binding assay measuring half life of a MHC:ligand complex using fluorescence detection	A purified MHC ligand half life of binding determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent	assay measuring the half life of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					minute	IEDB	IEDB
OBI:0001532	IL-9 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-9 production by T cells	An assay of epitope specific interleukin-9 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring interleukin-9 production by T cells	cytometric bead array assay									IEDB	IEDB
OBI:0001534	qualitative binding|purified MHC/competitive/fluorescence	purified MHC competitive binding assay measuring binding of a MHC:ligand complex using fluorescence detection	A purified MHC binding assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	subclass	purified MHC binding assay measuring binding of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation						IEDB	IEDB
OBI:0001537	dissociation constant KD|purified MHC/competitive/fluorescence|nM	purified MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using fluorescence detection	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent	assay measuring the dissociation constant [KD] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001539	dissociation constant KD|cellular MHC/competitive/fluorescence|nM	cell bound MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using fluorescence detection	A cell bound MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent	assay measuring the dissociation constant [KD] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	IEDB	IEDB
OBI:0001541	on rate|purified MHC/direct/fluorescence|nM^-1s^-1	purified MHC direct binding assay measuring binding on rate [kon] of a MHC:ligand complex using fluorescence detection	A purified MHC ligand binding on rate (kon) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent	assay measuring the MHC ligand binding on rate [kon] of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					count per nanomolar second	IEDB	IEDB
OBI:0001542	IL-13 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-13 production by T cells	An assay of epitope specific interleukin-13 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific interleukin-13 production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
OBI:0001543	dissociation constant KD (~EC50)|purified MHC/direct/fluorescence|nM	purified MHC direct binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex approximated by EC50 using fluorescence detection	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses fluorescence detection to measure direct ligand binding and provides EC50 values determined under assay conditions where the EC50 approximates a KD value. 	subclass	assay measuring the dissociation constant [KD] of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					nanomolar	IEDB	IEDB
OBI:0001544	dissociation constant KD|lysate MHC/competitive/radioactivity|nM	cell lysate MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using radioactivity detection	A cell lysate MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent	assay measuring the dissociation constant [KD] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell lysate					nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001545	CCL3/MIP-1a release|ICS	intracellular cytokine staining assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	An assay of epitope specific macrophage inflammatory protein-1 alpha production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	flow cytometry assay									IEDB	IEDB
OBI:0001549	dissociation constant KD|cellular MHC/competitive/radioactivity|nM	cell bound MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using radioactivity detection	A cell bound MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent	assay measuring the dissociation constant [KD] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001550	qualitative binding|cellular MHC	cell bound MHC binding assay measuring binding of a MHC:ligand complex	A MHC binding qualitative binding to ligand assay measuring MHC ligand binding using MHC present on cells.	equivalent	assay measuring qualitiative binding of a MHC:ligand complex				cell						"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001552	TNFSF11/RANKL release|ICS	intracellular cytokine staining assay measuring epitope specific tumor necrosis factor (ligand) superfamily member 11 production by T cells	A T cell epitope specific tumor necrosis factor (ligand) superfamily member 11 production assay that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific tumor necrosis factor (ligand) superfamily member 11 production by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001553	binding constant|binding assay	assay measuring a binding constant of a MHC:ligand complex	A MHC:ligand binding assay that measures a binding constant.	equivalent	assay measuring binding of a MHC:ligand complex								binding constant		IEDB	IEDB
OBI:0001555	qualitative binding|purified MHC	purified MHC binding assay measuring binding of a MHC:ligand complex	A MHC binding qualitative binding to ligand assay using MHC in a purified MHC molecule preparation.	equivalent	assay measuring qualitiative binding of a MHC:ligand complex				purified MHC molecule preparation						"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001556	qualitative binding|lysate MHC/direct/radioactivity	cell lysate MHC direct binding assay of a MHC:ligand complex using radioactivity detection	A cell lysate MHC binding assay that uses radioactivity detection to detect direct binding.	subclass	cell lysate MHC binding assay measuring binding of a MHC:ligand complex	radioactivity detection			cell lysate						"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001558	half life|cellular MHC/direct/radioactivity|min	cell bound MHC direct binding assay measuring half life of a MHC:ligand complex using radioactivity detection	A cell bound MHC ligand half life of binding determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent	assay measuring the half life of a MHC:ligand complex	radioactivity detection			cell					minute	IEDB	IEDB
OBI:0001559	half life|cellular MHC/direct/fluorescence|min	cell bound MHC direct binding assay measuring half life of a MHC:ligand complex using fluorescence detection	A cell bound MHC ligand half life of binding determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent	assay measuring the half life of a MHC:ligand complex	fluorescence detection assay			cell					minute	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001561	half maximal effective concentration (EC50)|cellular MHC/direct/fluorescence|nM	cell bound MHC direct binding assay measuring half maximal effective concentration [EC50] of a MHC:ligand complex using fluorescence detection	A cell bound MHC ligand binding half maximal effective concentration (EC50) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent	assay measuring the half maximal effective concentration [EC50] of a MHC:ligand complex	fluorescence detection assay			cell					nanomolar	IEDB	IEDB
OBI:0001562	IL-17F release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-17F production by T cells	A T cell epitope specific interleukin-17F production assay that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific interleukin-17F production by T cells	flow cytometry assay									IEDB	IEDB
OBI:0001564	dissociation constant KD (~IC50)|purified MHC/competitive/radioactivity|nM	purified MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex approximated by IC50 using radioactivity detection	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation and provides IC50 values determined under assay conditions where the IC50 approximates a KD value. 	subclass	assay measuring the dissociation constant [KD] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	IEDB	IEDB
OBI:0001565	half life|lysate MHC/direct/radioactivity|min	cell lysate MHC direct binding assay measuring half life of a MHC:ligand complex using radioactivity detection	A cell lysate MHC ligand half life of binding determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent	assay measuring the half life of a MHC:ligand complex	radioactivity detection			cell lysate					minute	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001567	off rate|lysate MHC/direct/radioactivity|1/s	cell lysate MHC direct binding assay measuring binding off rate [koff] of a MHC:ligand complex using radioactivity detection	A cell lysate MHC ligand binding off rate measurement (koff) determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent	assay measuring the off rate measurement [koff] of a MHC:ligand complex	radioactivity detection			cell lysate					hertz	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001568	half maximal inhibitory concentration (IC50)|purified MHC/competitive/radioactivity|nM	purified MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using radioactivity detection	A purified MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001569	off rate|purified MHC/direct/fluorescence|1/s	purified MHC direct binding assay measuring binding off rate [koff] of a MHC:ligand complex using fluorescence detection	A purified MHC ligand binding off rate measurement (koff) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent	assay measuring the off rate measurement [koff] of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					hertz	IEDB	IEDB
OBI:0001570	VEGF release|biological activity	biological activity assay measuring epitope specific vascular endothelial growth factor production by T cells	A T cell epitope specific cytokine production assay that detects vascular endothelial growth factor production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					vascular endothelial growth factor production					IEDB	IEDB
